Country,diesel,diesel-electric,e85,electric,hydrogen,lpg,ng,petrol,petrol-electric
Austria,129832.0,45.0,,9238.0,19.0,2.0,579.0,186819.0,2114.0
Belgium,183314.0,636.0,,9093.0,,791.0,3803.0,379693.0,8399.0
Croatia,22691.0,2.0,,155.0,,591.0,,38688.0,70.0
Cyprus,4246.0,,,8.0,,,,7718.0,37.0
Czechia,68603.0,4.0,,660.0,,406.0,1783.0,173030.0,508.0
Denmark,58181.0,113.0,,5479.0,8.0,,6.0,155301.0,3641.0
Estonia,6231.0,,,77.0,,52.0,578.0,20367.0,30.0
Finland,18397.0,152.0,,1888.0,,,2138.0,80657.0,5713.0
France,831351.0,745.0,6191.0,43761.0,62.0,1882.0,353.0,1403670.0,17625.0
Germany,1159802.0,7445.0,2.0,62915.0,67.0,7052.0,7602.0,2254329.0,37220.0
Greece,30888.0,3.0,,190.0,,691.0,1652.0,80492.0,294.0
Hungary,26546.0,70.0,101.0,1623.0,,10.0,2.0,113475.0,681.0
Iceland,3458.0,36.0,,914.0,7.0,,53.0,5930.0,1168.0
Ireland,54644.0,2.0,,3453.0,,,,57799.0,1533.0
Italy,782482.0,164.0,,10658.0,17.0,126456.0,38558.0,952791.0,6234.0
Latvia,5624.0,,3.0,87.0,,96.0,15.0,10862.0,9.0
Lithuania,8110.0,,,158.0,,10.0,,37507.0,59.0
Luxembourg,23425.0,68.0,,964.0,,1.0,4.0,28881.0,839.0
Malta,2068.0,1.0,,197.0,,,,5344.0,60.0
Netherlands,23780.0,32.0,,59026.0,2.0,435.0,229.0,306738.0,4533.0
Norway,22546.0,529.0,,60245.0,4.0,,16.0,39794.0,18738.0
Poland,113675.0,22.0,,1424.0,,7118.0,38.0,410785.0,1079.0
Portugal,89440.0,1144.0,,6884.0,,2109.0,41.0,118651.0,4630.0
Romania,43901.0,2.0,,1508.0,,,,115513.0,400.0
Slovakia,25816.0,16.0,,171.0,,374.0,152.0,74995.0,199.0
Slovenia,21857.0,2.0,,629.0,,86.0,28.0,48855.0,166.0
Spain,441612.0,142.0,,10274.0,1.0,21951.0,6126.0,863771.0,7310.0
Sweden,114578.0,871.0,1110.0,15583.0,2.0,,4875.0,189373.0,23943.0
United Kingdom,614807.0,1071.0,,37724.0,77.0,,,1616808.0,34132.0
EU Total,4931905.0,13317.0,7407.0,344986.0,266.0,170113.0,68631.0,9778636.0,181364.0
